# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Sample"	"Quantity"	"Target"	"Dye"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Cq"	"Cq Mean"	"Cq Confidence"	"Cq SD"	"Quantity Mean"	"Quantity SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Y-Intercept"	"R2"	"Slope"	"Efficiency"	"Standard Deviation"	"Standard Error"	"Omit"
"26"	"C2"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"24.248446102375304"	"24.45756170655361"	"0.9467046018171775"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"11"	"19"	"80.94042205810547"	""	""	""	""	""	""	""	""	""	"FALSE"
"27"	"C3"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.215861929825657"	"24.45756170655361"	"0.9407889558984495"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""	""	""	""	""	""	"FALSE"
"28"	"C4"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.200276448854552"	"24.45756170655361"	"0.9361433843834245"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""	""	""	""	""	""	"FALSE"
"29"	"C5"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"19.228212214492928"	"24.45756170655361"	"0.9705918207521625"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"9"	"14"	"80.918701171875"	""	""	""	""	""	""	""	""	""	"FALSE"
"30"	"C6"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"19.264065226885513"	"24.45756170655361"	"0.9736644183685608"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"9"	"15"	"80.918701171875"	""	""	""	""	""	""	""	""	""	"FALSE"
"31"	"C7"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.855325766109893"	"24.45756170655361"	"0.946712996983609"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9585189819336"	""	""	""	""	""	""	""	""	""	"FALSE"
"32"	"C8"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.784600934260403"	"24.45756170655361"	"0.9430184915946949"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""	""	""	""	""	""	"FALSE"
"33"	"C9"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"23.563762530088646"	"24.45756170655361"	"0.9450779464560517"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"11"	"19"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"34"	"C10"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"23.699702327968822"	"24.45756170655361"	"0.9458822224018885"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"11"	"19"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"35"	"C11"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.858017463799584"	"24.45756170655361"	"0.9343038797950788"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9020004272461"	""	""	""	""	""	""	""	""	""	"FALSE"
"36"	"C12"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"26.02082998247677"	"24.45756170655361"	"0.9300571000511981"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9020004272461"	""	""	""	""	""	""	""	""	""	"FALSE"
"37"	"D1"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"26.025309792782487"	"24.45756170655361"	"0.9403579023882475"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.8033676147461"	""	""	""	""	""	""	""	""	""	"FALSE"
"38"	"D2"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.85889252655528"	"24.45756170655361"	"0.9555291959144051"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.94042205810547"	""	""	""	""	""	""	""	""	""	"FALSE"
"39"	"D3"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.965628962389466"	"24.45756170655361"	"0.942958886665297"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"21"	"80.9597396850586"	""	""	""	""	""	""	""	""	""	"FALSE"
"40"	"D4"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.974299170246283"	"24.45756170655361"	"0.9380993329360306"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"15"	"21"	"80.9597396850586"	""	""	""	""	""	""	""	""	""	"FALSE"
"41"	"D5"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"21.532323748618353"	"24.45756170655361"	"0.9380236709795606"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"10"	"17"	"80.918701171875"	""	""	""	""	""	""	""	""	""	"FALSE"
"42"	"D6"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"21.659511866171158"	"24.45756170655361"	"0.9551973698998077"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"10"	"17"	"80.918701171875"	""	""	""	""	""	""	""	""	""	"FALSE"
