# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Cycle Number"	"Target"	"Rn"	"dRn"	"Sample"	"Omit"
"3"	"A3"	"20"	"Target 1"	"0.24209357798099518"	"4.8170324527856134E-4"	"Sample 1"	"FALSE"
"3"	"A3"	"21"	"Target 1"	"0.2463608831167221"	"0.0021939150311730132"	"Sample 1"	"FALSE"
"3"	"A3"	"22"	"Target 1"	"0.2562452256679535"	"0.00952316423257192"	"Sample 1"	"FALSE"
"3"	"A3"	"23"	"Target 1"	"0.2692071795463562"	"0.019930024761142126"	"Sample 1"	"FALSE"
"3"	"A3"	"24"	"Target 1"	"0.2938859462738037"	"0.04205369813875719"	"Sample 1"	"FALSE"
"3"	"A3"	"25"	"Target 1"	"0.3357536792755127"	"0.08136633779063372"	"Sample 1"	"FALSE"
"3"	"A3"	"26"	"Target 1"	"0.40702128410339355"	"0.1500788492686821"	"Sample 1"	"FALSE"
"3"	"A3"	"27"	"Target 1"	"0.5372406244277954"	"0.27774309624325144"	"Sample 1"	"FALSE"
"3"	"A3"	"28"	"Target 1"	"0.7340147495269775"	"0.4719621279926011"	"Sample 1"	"FALSE"
"3"	"A3"	"29"	"Target 1"	"0.9880388975143433"	"0.7234311826301344"	"Sample 1"	"FALSE"
"3"	"A3"	"30"	"Target 1"	"1.2723417282104492"	"1.0051789199764078"	"Sample 1"	"FALSE"
"3"	"A3"	"31"	"Target 1"	"1.5407743453979492"	"1.2710564438140752"	"Sample 1"	"FALSE"
"3"	"A3"	"32"	"Target 1"	"1.762621521949768"	"1.4903485270160617"	"Sample 1"	"FALSE"
"3"	"A3"	"33"	"Target 1"	"1.9359397888183594"	"1.6611117005348204"	"Sample 1"	"FALSE"
"3"	"A3"	"34"	"Target 1"	"2.0657756328582764"	"1.788392451224905"	"Sample 1"	"FALSE"
"3"	"A3"	"35"	"Target 1"	"2.160513401031494"	"1.8805751260482904"	"Sample 1"	"FALSE"
