# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Stage Number"	"Step Number"	"Cycle Number"	"X1_M1"	"X2_M2"	"X3_M3"	"X4_M4"	"X5_M5"
"30"	"C6"	"2"	"2"	"2"	"102473.22"	"31737.932"	"55841.35"	"406060.16"	"472.75543"
"31"	"C7"	"2"	"2"	"2"	"111235.19"	"31702.615"	"56198.406"	"410612.72"	"-418.9771"
"32"	"C8"	"2"	"2"	"2"	"136674.17"	"37291.49"	"62356.906"	"448149.06"	"392.25787"
"33"	"C9"	"2"	"2"	"2"	"115938.28"	"34794.91"	"53308.17"	"413721.06"	"-411.66043"
"34"	"C10"	"2"	"2"	"2"	"115720.61"	"36277.258"	"50279.668"	"401147.56"	"1485.6733"
"35"	"C11"	"2"	"2"	"2"	"105384.04"	"34382.758"	"43724.562"	"374747.44"	"1292.1107"
"36"	"C12"	"2"	"2"	"2"	"96783.17"	"35963.05"	"38319.31"	"369008.38"	"126.99922"
"37"	"D1"	"2"	"2"	"2"	"104605.9"	"39712.273"	"43841.844"	"396747.84"	"1112.1547"
"38"	"D2"	"2"	"2"	"2"	"95316.46"	"34082.266"	"43716.18"	"384825.38"	"3527.4934"
"39"	"D3"	"2"	"2"	"2"	"107928.69"	"34906.41"	"50461.742"	"400627.44"	"1241.2805"
"40"	"D4"	"2"	"2"	"2"	"111160.16"	"35644.695"	"56385.67"	"416793.03"	"1293.0934"
"41"	"D5"	"2"	"2"	"2"	"116844.47"	"34863.355"	"59692.598"	"428249.66"	"668.8452"
"42"	"D6"	"2"	"2"	"2"	"116941.945"	"33980.0"	"60750.297"	"431320.56"	"2113.0981"
"43"	"D7"	"2"	"2"	"2"	"120373.45"	"34293.836"	"59566.33"	"425317.22"	"1291.9777"
"44"	"D8"	"2"	"2"	"2"	"108591.93"	"32219.094"	"54674.51"	"409595.44"	"2192.698"
"45"	"D9"	"2"	"2"	"2"	"127188.71"	"35114.184"	"53959.973"	"405299.56"	"1753.7931"
"46"	"D10"	"2"	"2"	"2"	"146400.77"	"37283.63"	"51677.8"	"413658.72"	"2285.1687"
"47"	"D11"	"2"	"2"	"2"	"108412.06"	"36898.14"	"47705.27"	"398715.44"	"3226.1343"
"48"	"D12"	"2"	"2"	"2"	"149222.9"	"39390.99"	"41852.07"	"387911.84"	"1393.5575"
"49"	"E1"	"2"	"2"	"2"	"103896.43"	"38269.91"	"42744.14"	"398890.25"	"1434.4752"
"50"	"E2"	"2"	"2"	"2"	"113822.73"	"38488.62"	"49919.285"	"413958.84"	"1524.7874"
"51"	"E3"	"2"	"2"	"2"	"116527.766"	"40868.793"	"59372.492"	"417301.7"	"1560.428"
"52"	"E4"	"2"	"2"	"2"	"110117.26"	"32329.96"	"54138.914"	"400471.06"	"2698.9187"
"53"	"E5"	"2"	"2"	"2"	"115129.92"	"33541.97"	"57820.426"	"416943.66"	"1175.786"
"54"	"E6"	"2"	"2"	"2"	"115526.945"	"31917.555"	"57583.996"	"403662.56"	"2407.0903"
"55"	"E7"	"2"	"2"	"2"	"117190.63"	"31910.066"	"56642.03"	"399700.84"	"-374.10226"
"56"	"E8"	"2"	"2"	"2"	"148862.86"	"40146.12"	"65297.82"	"439829.9"	"53455.168"
"57"	"E9"	"2"	"2"	"2"	"117002.84"	"33566.652"	"54142.383"	"412550.9"	"747.13104"
"58"	"E10"	"2"	"2"	"2"	"106231.87"	"32279.889"	"48177.703"	"389144.34"	"214.30063"
"59"	"E11"	"2"	"2"	"2"	"115498.83"	"33248.98"	"42806.465"	"366929.28"	"249.45366"
"60"	"E12"	"2"	"2"	"2"	"103905.92"	"35684.777"	"40405.816"	"383610.53"	"166.85674"
"61"	"F1"	"2"	"2"	"2"	"95941.88"	"35540.383"	"39322.51"	"377327.88"	"344.71698"
"62"	"F2"	"2"	"2"	"2"	"107062.87"	"37447.758"	"46344.05"	"403067.16"	"1000.02484"
"63"	"F3"	"2"	"2"	"2"	"111623.24"	"37092.97"	"53527.08"	"414453.4"	"648.19946"
"64"	"F4"	"2"	"2"	"2"	"124240.48"	"38646.875"	"60251.105"	"442676.72"	"157.34613"
"65"	"F5"	"2"	"2"	"2"	"119018.72"	"35572.727"	"61072.406"	"439380.1"	"411.66605"
"66"	"F6"	"2"	"2"	"2"	"115172.72"	"34686.727"	"59496.41"	"435709.9"	"1757.333"
"67"	"F7"	"2"	"2"	"2"	"124349.664"	"34113.02"	"58629.594"	"428932.6"	"-1491.4094"
"68"	"F8"	"2"	"2"	"2"	"116836.125"	"34977.215"	"59053.543"	"440136.0"	"1328.9467"
"69"	"F9"	"2"	"2"	"2"	"124179.38"	"34995.438"	"56470.594"	"430852.56"	"-790.28644"
"70"	"F10"	"2"	"2"	"2"	"126477.32"	"35298.867"	"49356.51"	"403274.25"	"-500.6338"
"71"	"F11"	"2"	"2"	"2"	"133253.77"	"38633.82"	"47886.03"	"403206.03"	"979.8312"
"72"	"F12"	"2"	"2"	"2"	"108253.03"	"37638.887"	"40705.664"	"375999.28"	"1094.226"
"73"	"G1"	"2"	"2"	"2"	"94558.11"	"36521.324"	"38977.797"	"382906.06"	"1189.0802"
"74"	"G2"	"2"	"2"	"2"	"107206.78"	"36195.625"	"44481.098"	"400244.38"	"771.19965"
"75"	"G3"	"2"	"2"	"2"	"98349.016"	"34453.703"	"46928.934"	"394151.72"	"-1084.5924"
"76"	"G4"	"2"	"2"	"2"	"97153.9"	"33313.07"	"49713.74"	"399563.12"	"1464.5242"
"77"	"G5"	"2"	"2"	"2"	"119564.516"	"37746.043"	"59360.996"	"422418.53"	"-140.07024"
"78"	"G6"	"2"	"2"	"2"	"141451.06"	"35476.203"	"56011.848"	"423062.62"	"3156.0413"
"79"	"G7"	"2"	"2"	"2"	"118405.94"	"33909.13"	"53752.87"	"409537.84"	"1587.3218"
"80"	"G8"	"2"	"2"	"2"	"117049.77"	"35410.52"	"53784.914"	"409939.56"	"2353.5762"
"81"	"G9"	"2"	"2"	"2"	"121665.234"	"35844.098"	"51058.51"	"410848.3"	"927.5774"
"82"	"G10"	"2"	"2"	"2"	"99032.94"	"33342.51"	"46367.35"	"386980.06"	"470.7197"
"83"	"G11"	"2"	"2"	"2"	"118427.13"	"35649.938"	"42797.86"	"385627.34"	"-123.60706"
"84"	"G12"	"2"	"2"	"2"	"101332.625"	"39243.13"	"39416.473"	"368154.56"	"944.68677"
"85"	"H1"	"2"	"2"	"2"	"82779.5"	"34526.086"	"33647.6"	"351221.62"	"1728.9645"
"86"	"H2"	"2"	"2"	"2"	"90501.74"	"37629.355"	"41523.633"	"383547.12"	"368.37"
