# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Omit"	"Sample"	"Target"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Amp Score"	"Curve Quality"	"Result Quality Issues"	"Cq"	"Cq Confidence"	"Cq Mean"	"Cq SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Tm5"
"26"	"C2"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3550880278938704"	""	""	"24.248446102375304"	"0.9467046018171775"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"11"	"19"	"80.94042205810547"	""	""	""	""
"27"	"C3"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3569443026846537"	""	""	"25.215861929825657"	"0.9407889558984495"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""
"28"	"C4"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3568883814941481"	""	""	"25.200276448854552"	"0.9361433843834245"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""
"29"	"C5"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.35728915472079"	""	""	"19.228212214492928"	"0.9705918207521625"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"9"	"14"	"80.918701171875"	""	""	""	""
"30"	"C6"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3653673385671954"	""	""	"19.264065226885513"	"0.9736644183685608"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"9"	"15"	"80.918701171875"	""	""	""	""
"31"	"C7"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3621541256257514"	""	""	"25.855325766109893"	"0.946712996983609"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9585189819336"	""	""	""	""
"32"	"C8"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3679466025352587"	""	""	"25.784600934260403"	"0.9430184915946949"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""
"33"	"C9"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3699071499042974"	""	""	"23.563762530088646"	"0.9450779464560517"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"11"	"19"	"80.91810607910156"	""	""	""	""
"34"	"C10"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.368348724234183"	""	""	"23.699702327968822"	"0.9458822224018885"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"11"	"19"	"80.91810607910156"	""	""	""	""
"35"	"C11"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3583947496929327"	""	""	"25.858017463799584"	"0.9343038797950788"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9020004272461"	""	""	""	""
